iter	Passed	Remaining
641	19657	10655
642	19686	10624
643	19716	10593
644	19745	10561
645	19775	10530
646	19806	10500
647	19838	10470
648	19867	10438
649	19896	10407
650	19927	10377
651	19958	10346
652	19989	10316
653	20022	10286
654	20053	10256
655	20087	10227
656	20117	10196
657	20154	10168
658	20189	10140
659	20220	10110
660	20253	10080
661	20285	10050
662	20317	10020
663	20344	9988
664	20375	9958
665	20409	9929
666	20442	9899
667	20473	9868
668	20503	9838
669	20539	9810
670	20570	9779
671	20603	9749
672	20638	9721
673	20667	9689
674	20696	9658
675	20729	9628
676	20758	9597
677	20787	9565
678	20819	9535
679	20852	9506
680	20885	9476
681	20916	9446
682	20950	9416
683	20979	9385
684	21009	9354
685	21038	9322
686	21069	9292
687	21098	9261
688	21130	9230
689	21165	9202
690	21196	9171
691	21226	9140
692	21256	9109
693	21285	9078
694	21314	9047
695	21344	9016
696	21373	8984
697	21404	8954
698	21434	8923
699	21464	8892
700	21494	8861
701	21523	8830
702	21553	8799
703	21581	8767
704	21611	8736
705	21639	8704
706	21670	8674
707	21700	8643
708	21731	8612
709	21760	8581
710	21789	8550
711	21820	8519
712	21854	8490
713	21886	8460
714	21917	8429
715	21946	8398
716	21976	8367
717	22005	8336
718	22031	8303
719	22061	8272
720	22090	8241
721	22122	8211
722	22152	8180
723	22183	8150
724	22214	8119
725	22247	8089
726	22279	8059
727	22308	8028
728	22339	7998
729	22371	7968
730	22400	7936
731	22429	7905
732	22458	7874
733	22488	7843
734	22519	7812
735	22548	7781
736	22578	7750
737	22611	7721
738	22649	7692
739	22683	7663
740	22717	7633
741	22749	7603
742	22782	7573
743	22815	7543
744	22843	7512
745	22873	7481
746	22904	7450
747	22934	7419
748	22964	7389
749	22991	7357
750	23023	7326
751	23052	7295
752	23082	7265
753	23116	7235
754	23146	7204
755	23180	7174
756	23213	7144
757	23243	7114
758	23275	7083
759	23306	7053
760	23337	7022
761	23366	6991
762	23397	6960
763	23429	6930
764	23460	6900
765	23493	6870
766	23523	6839
767	23555	6808
768	23587	6778
769	23618	6748
770	23646	6716
771	23677	6686
772	23710	6656
773	23739	6625
774	23770	6594
775	23801	6563
776	23830	6532
777	23863	6502
778	23894	6472
779	23925	6441
780	23954	6410
781	23985	6379
782	24015	6348
783	24045	6317
784	24074	6286
785	24106	6256
786	24144	6227
787	24181	6198
788	24221	6170
789	24258	6141
790	24299	6113
791	24339	6084
792	24378	6056
793	24411	6026
794	24445	5996
795	24476	5965
796	24508	5935
797	24544	5905
798	24577	5875
799	24605	5843
800	24639	5813
801	24671	5783
802	24704	5753
803	24736	5722
804	24765	5691
805	24796	5660
806	24826	5629
807	24857	5599
808	24889	5568
809	24923	5538
810	24956	5508
811	24987	5477
812	25018	5446
813	25048	5415
814	25079	5385
815	25112	5354
816	25151	5325
817	25189	5296
818	25223	5266
819	25256	5236
820	25301	5208
821	25332	5177
822	25367	5147
823	25398	5116
824	25429	5085
825	25462	5055
826	25492	5024
827	25524	4993
828	25555	4963
829	25585	4932
830	25617	4901
831	25646	4870
832	25676	4839
833	25707	4808
834	25736	4777
835	25765	4746
836	25796	4715
837	25827	4684
838	25855	4653
839	25885	4622
840	25917	4591
841	25947	4560
842	25976	4529
843	26008	4499
844	26044	4469
845	26080	4439
846	26117	4409
847	26152	4379
848	26185	4348
849	26216	4317
850	26251	4287
851	26284	4257
852	26316	4226
853	26349	4196
854	26382	4165
855	26416	4135
856	26448	4104
857	26482	4074
858	26517	4043
859	26551	4013
860	26583	3982
861	26619	3952
862	26650	3921
863	26681	3891
864	26715	3860
865	26750	3830
866	26783	3799
867	26819	3769
868	26850	3738
869	26883	3708
870	26913	3677
871	26945	3646
872	26978	3615
873	27009	3584
874	27042	3554
875	27075	3523
876	27115	3493
877	27145	3462
878	27177	3431
879	27210	3401
880	27240	3370
881	27271	3339
882	27303	3308
883	27332	3277
884	27364	3246
885	27393	3215
886	27424	3184
887	27452	3153
888	27483	3122
889	27512	3091
890	27543	3060
891	27572	3029
892	27602	2998
